,platform,searchTime,searchQuery,searchInteractionURIs
158,IPHONE,2025-01-24T13:25:52.301Z[UTC],naruto supp,['spotify:playlist:4vW805RN0c6j67lWy68vgs']
159,,2025-01-24T13:37:58.919Z[UTC],dark k,[]
160,,2025-01-24T13:37:58.986Z[UTC],dark k,[]
161,,2025-01-24T13:38:00.050Z[UTC],dark knig,[]
162,,2025-01-24T13:38:00.175Z[UTC],dark knig,[]
163,IPHONE,2025-01-24T13:38:00.499Z[UTC],dark knight,['spotify:album:63uFfOZpC7jrV7wfuBY2lX']
164,,2025-01-26T09:11:19.236Z[UTC],se,[]
165,,2025-01-26T09:11:19.494Z[UTC],se,[]
166,,2025-01-26T09:11:19.744Z[UTC],sexed,[]
167,,2025-01-26T09:11:19.909Z[UTC],sexed,[]
168,,2025-01-26T09:11:20.066Z[UTC],sexed ,[]
169,,2025-01-26T09:11:20.212Z[UTC],sexed ,[]
170,,2025-01-26T09:11:20.535Z[UTC],sexed u,[]
171,,2025-01-26T09:11:20.695Z[UTC],sexed u,[]
172,,2025-01-26T09:11:20.820Z[UTC],sexed up,[]
173,,2025-01-26T09:11:21.025Z[UTC],sexed up,[]
174,,2025-01-28T06:04:06.714Z[UTC],ju,[]
175,,2025-01-28T06:04:06.900Z[UTC],ju,[]
176,,2025-01-28T06:04:08.729Z[UTC],junn k,[]
177,,2025-01-28T06:04:08.954Z[UTC],junn k,[]
178,,2025-01-28T06:04:09.414Z[UTC],jun,[]
179,,2025-01-28T06:04:09.612Z[UTC],jun,[]
180,,2025-01-28T06:04:10.691Z[UTC],jua,[]
181,,2025-01-28T06:04:10.871Z[UTC],jua,[]
182,,2025-01-28T06:04:11.138Z[UTC],juan,[]
183,,2025-01-28T06:04:11.309Z[UTC],juan,[]
184,OSX_X86_64,2025-01-28T06:04:11.928Z[UTC],juan ka,[]
185,,2025-01-28T06:04:11.967Z[UTC],juan ka,[]
186,,2025-01-28T06:04:12.594Z[UTC],juan karlos,[]
187,OSX_X86_64,2025-01-28T06:04:12.892Z[UTC],juan karlos,[]
188,,2025-01-28T08:55:33.326Z[UTC],b,[]
189,,2025-01-28T08:55:33.567Z[UTC],b,[]
190,,2025-01-28T08:55:34.138Z[UTC],btre,[]
191,,2025-01-28T08:55:34.280Z[UTC],btre,[]
192,,2025-01-28T08:55:34.694Z[UTC],btred,[]
193,,2025-01-28T08:55:34.807Z[UTC],btred,[]
194,,2025-01-28T08:55:36.938Z[UTC],bre,[]
195,,2025-01-28T08:55:37.110Z[UTC],bre,[]
196,,2025-01-28T08:55:37.345Z[UTC],bread,[]
197,,2025-01-28T08:55:37.519Z[UTC],bread,[]
198,,2025-01-29T18:36:44.194Z[UTC],s,[]
