artist,album,track,url
Adie,Luha,Luha,spotify:track:0bkD3c7Z6JUkJ0yERbFLUN
iamjakehill,Follow Me Into Hell,Satin Black,spotify:track:1vb2AwKBvNylZcKVSyAidh
Pearl Jam,Ten,Black,spotify:track:5Xak5fmy089t0FYmh3VJiY
Jam in the Van,"Jam in the Van - M.A.G.S. (Live Session, Los Angeles, CA, 2021)","Sunrise (Live Session, Los Angeles, CA, 2021)",spotify:track:5FETM0nmXq4qTUHNeoAgV7
Sixpence None The Richer,Sixpence None the Richer,Kiss Me,spotify:track:754kgU5rWscRTfvlsuEwFp
Liam Gallagher,As You Were,Universal Gleam,spotify:track:1ukSzmXbpTpcQgyHtqXXiL
Jeff Buckley,Grace (Legacy Edition),"Lover, You Should've Come Over",spotify:track:7iSyaNhLcjwuO22QuRYHsM
Pianovus,Passacaglia (Piano Version),Passacaglia (Piano Version),spotify:track:7tA2yJHI46hAbu4rGU5fmD
McFly,Room On The 3rd Floor,Obviously,spotify:track:6EsnG6BmZ6U7NxicrO8tDJ
????,Team Tomodachi,Team Tomodachi,spotify:track:51MTYQC6SuyRsGQsrP9BEu
The Walters,I Love You So,I Love You So,spotify:track:4SqWKzw0CbA05TGszDgMlc
Emis Killa,L'erba cattiva (Gold Edition),Parole di ghiaccio,spotify:track:5crrldk7i32Sa80pSJMpnr
GReeeeN,?????????????,??,spotify:track:7iXHLtPosbHvglVSJ4rxLq
Roy Blair,Cat Heaven,Thunder,spotify:track:0afGLa6wcYiLLXFZ48ZQpY
Frank Ely,Hallo!,Kay Ganda Mo,spotify:track:0DlpDP9w33WizDA6FGZ37k
Weezer,All My Favorite Songs (feat. AJR),All My Favorite Songs (feat. AJR),spotify:track:3A6nR4GSolo160nu7xtDk7
