artist,album,track,url
Tyler Shaw,Intuition,To the Man Who Let Her Go,spotify:track:5PebmdoxWZkuaIzzWpiBMG
Lupe Fiasco,Lasers,The Show Goes On,spotify:track:4NTWZqvfQTlOMitlVn6tew
Tom Odell,Jubilee Road,Half As Good As You (feat. Alice Merton),spotify:track:25Up2vWWPlpYmdc0zpmDZq
Twenty One Pilots,The Craving,The Craving - single version,spotify:track:0S7lkKStHgfgjgwSFOvRNA
Daoko,THANK YOU BLUE,????,spotify:track:4IouQaO9GkaHC7AtMErdSa
Lorenzo Ferrara,Obito's Death Theme,Obito's Death Theme,spotify:track:4wYC2Qrbjfe5sPSa14rj2G
The Everly Brothers,Baby What You Want Me to Do,Some Sweet Day,spotify:track:230nNyCvrHxVq1X0A8drBW
Twenty One Pilots,Vessel,Truce,spotify:track:7GYX3jtMiLTTYKo3GIuW7p
Troye Sivan,Blue Neighbourhood,SUBURBIA,spotify:track:0tnU8bI4cZkvdPzXRV7BA8
James Brown,70's Funk Classics,"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2",spotify:track:6hpmTwgNCz81H2bFEREx29
Mahmood,Rapide,Rapide,spotify:track:2cf1g08CvDuhwXFqxjetQi
Nada Surf,Let Go,Inside Of Love,spotify:track:47Jpwbk3GYSGltwDX2u0eL
Audioslave,Out of Exile,Doesn't Remind Me,spotify:track:0o995gJCGebaza0LWybToU
M.A.G.S.,Say Things That Matter,Forever,spotify:track:6Wmm4Od9BZ7bC5jlIxIy3G
Hojean,Swing,Hold Me,spotify:track:3EnsM1Y8cEb6OLDloYhss6
Zack Tabudlo,Iyong Iyo,Iyong Iyo,spotify:track:6RUEFRLol05iSCzQaCHNK5
N.E.R.D,Fly Or Die,She Wants To Move,spotify:track:4Vqd7MuPVrciqRS3EzhKWb
K+Lab,The Booty Galactic,"Different Kinda Cold feat. Bdice, Def3",spotify:track:72vR5TqxA6GcL1kYPRDWIz
Pixies,Death to the Pixies,Where Is My Mind?,spotify:track:0KzAbK6nItSqNh8q70tb0K
Younger Hunger,Summer Bummer,Summer Bummer,spotify:track:5brk73bXAxYMu5D1QUZQ6t
Charlie Puth,Nine Track Mind,River,spotify:track:3ZAbzT3EIBAM4pDB6pD8V6
M.A.G.S.,Say Things That Matter,Smile,spotify:track:6HgPV8z2FNoLVQtvJKY5Do
John Powell,The Bourne Identity,The Bourne Identity Main Title,spotify:track:2y0Pmrk6BPMvOpvo8iz2jl
ABBA,The Visitors,Slipping Through My Fingers,spotify:track:6TvxPS4fj4LUdjw2es4g21
Noel Gallagher's High Flying Birds,Who Built The Moon?,Holy Mountain,spotify:track:1w0mBplHPU8Sbv2C8mqGOl
Justin Timberlake,FutureSex/LoveSounds,SexyBack (feat. Timbaland),spotify:track:0O45fw2L5vsWpdsOdXwNAR
Jack Harlow,Come Home The Kids Miss You,Like A Blade Of Grass,spotify:track:22xea6Z2a8BbyVeCksSBX9
Mike Shinoda,Post Traumatic,Can't Hear You Now,spotify:track:3JdC30s70TxGqT2LXgLR2R
Dilaw,Sansinukob,Sansinukob,spotify:track:7jOqzJjLxMTg6yScO5nYDb
Adam Levine,V,Lost Stars,spotify:track:1ejtHfSXQwvaAU7F82FXww
KSI,All Over The Place,Holiday,spotify:track:14Bcv6siTBPw3TlP84dasC
Bamboo,As the Music Plays the Band,Pride and the Flame,spotify:track:5Br3Cd6u5KS0Ozj28thALk
Trevor Hall,Chapter Of The Forest,The Promised Land,spotify:track:6TjAAHRf34nqoe1RVpkuQm
WOOSUNG,MOTH,Phase Me,spotify:track:62DCFw57LAAX4CTrzmUCny
Maroon 5,Overexposed Track By Track,Beautiful Goodbye,spotify:track:0ehxWIhybOYQ3acRhmcNVF
Carpenters,A Song For You,I Won't Last A Day Without You,spotify:track:42CX3VhPsCG75BFp07r9Vj
Starley,Call On Me,Call On Me - Ryan Riback Extended Remix,spotify:track:78rIJddV4X0HkNAInEcYde
Hale,Twilight,Elegy,spotify:track:43GS8cRDt01JUGrXeuRfDE
Logic,Everybody,Everybody,spotify:track:51sVgPeBHYwbeM1cWegVqR
First Cousins,Best of OPM Novelty Hits & Best of OPM Jukebox Hits,Muling Ibalik,spotify:track:48LAmvcD0pIGSfUXlocKGA
Emman,Teka Lang,Teka Lang,spotify:track:47UUjZbqZjcrzELnFBB1Ht
We Are Enfant Terrible,La femme aux faux cils - EP,La femme aux faux cils,spotify:track:58R4L39xCXv24qr9K2YxcH
Parokya Ni Edgar,Bigotilyo,Chikinini,spotify:track:0tNHNXe3pFUWJpL3zMXnhI
JANNABI,LEGEND,for lovers who hesitate,spotify:track:5BqwC9kOBbqYkzdOKeXFFk
Johnny Cash,American IV: The Man Comes Around,Hurt,spotify:track:28cnXtME493VX9NOw9cIUh
The Maine,My Best Habit,My Best Habit,spotify:track:5yizT1XYNU8ms6ZWrOBrLa
Maroon 5,V,Leaving California,spotify:track:551q7BvTjaaTJ1D1Rk1zJu
Kane Strang,Two Hearts and No Brain,My Smile Is Extinct,spotify:track:7wv0Zanc5O6REOUYAK7xMb
Steve Lacy,Gemini Rights,Bad Habit,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy
Mr.Rain,Butterfly Effect,Ipernova,spotify:track:1TaSkLG2bXx84YuKmJvncw
ONE OK ROCK,JINSEI KAKETE BOKU WA,Introduction?Where idiot should go?,spotify:track:0jl0SIWKQIK1eUHWjBn7n3
Garie Concepcion,Umaasa,Umaasa,spotify:track:1QC1TKQB0GHARZWbuZLXyY
MaxyPresko,"Kreyzii Night, Pt. 3","Kreyzii Night, Pt. 3",spotify:track:6jY1oTE7BkyJzNFMVKEZ6b
Tom Petty,Wildflowers & All The Rest,Something Could Happen,spotify:track:42DoDWKE0Ie1lSjjdALfrA
Twenty One Pilots,Jumpsuit / Nico And The Niners,Jumpsuit,spotify:track:6cQnrSlTxhHCCiUpKrs7g3
Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,spotify:track:0o9zmvc5f3EFApU52PPIyW
LANY,mama's boy,you!,spotify:track:1vg0ZHaTvBwlNxLxyYrEvP
NuNew,???????????,"??????????? - from ""My Cutie Pie""",spotify:track:2E0yUWqMmTVdoUgRfFYEYi
Glass Animals,I Love You So F***ing Much,Creatures in Heaven,spotify:track:1QDgcVfZKIf2SKBjQzzTLs
Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,All of the Stars,spotify:track:1vNjkeVrYlT1w0WCQN3fDP
ITZY,CHECKMATE,SNEAKERS,spotify:track:2WoluqyWzsgRmFCeHeGlnm
Diodato,Fai rumore,Fai rumore,spotify:track:5OaBhC8NjdqDhHF9I6r9lS
keshi,2 soon,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv
Nirvana,In Utero,Dumb,spotify:track:5gRcv46AMTrosmTOqrOV3Q
John Frusciante,The Will To Death,The Will To Death,spotify:track:3x3zdepy3au5Uo81WIA9MG
Klergy,World on Fire,World on Fire,spotify:track:5bv87T8PtI8c1KSUn2QRsz
RVG,Feral,I Used to Love You,spotify:track:6K0r0z2iJqGGIZ5yjz2wYN
Thegiornalisti,LOVE,Questa nostra stupida canzone d'amore,spotify:track:1Kw6V4wiZKTVwLZ5YcYJR3
DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby),spotify:track:0g2Bbgy7P41pFjMWJuzsf4
DNCE,DNCE,Cake By The Ocean,spotify:track:76hfruVvmfQbw0eYn1nmeC
Riverdale Cast,Riverdale: Season 2 (Original Television Soundtrack),"Mad World (feat. K.J. Apa, Camila Mendes & Lili Reinhart)",spotify:track:1Q2z1qC6C0Db6nDFkwr9wd
Nothing But Thieves,Nothing But Thieves,"Lover, Please Stay",spotify:track:3QxCvkqWdkMqy3CPxOhZ24
milk.,A Little More,A Little More,spotify:track:7CYqCJ15jCQpWdPtuPtQAr
Tom Odell,Wrong Crowd,Somehow,spotify:track:3BQRmEJF32vjzx6u2cJgeC
Friends In Paris,When Your Heart Is A Stranger,When Your Heart Is A Stranger,spotify:track:1vZqSAWEKH4Aby3Z9nJ1Ln
Led Zeppelin,Led Zeppelin IV,Stairway to Heaven - Remaster,spotify:track:5CQ30WqJwcep0pYcV4AMNc
Rezz,Someone Else,Someone Else,spotify:track:4hR3hQKELrARHNZJ51D14s
The National,Sleep Well Beast,Dark Side of the Gym,spotify:track:5nKH6bOVogJdgfH031s1P1
Trevor Hall,Chapter Of The Forest,Wish Man,spotify:track:5NytdyVxPL5a67W0G2Pf3K
Dillon Francis,"Money Sucks, Friends Rule",All That (feat. Twista & The Rej3ctz),spotify:track:4mhP1ivns0szzcy53ALYY3
Colapesce,I Mortali²,Musica leggerissima,spotify:track:4LAWJfQbfeMrlX0ShqhC2a
OWEL,OWEL,The Unforgiving Tide,spotify:track:0oTcauITvW5OMqiJ5Uyawm
updog,dying breath,dying breath,spotify:track:6vONK4Vsz9luFYoo1QuZ4c
Led Zeppelin,Mothership,Trampled Under Foot - Remaster,spotify:track:6mkBbzyfK0EpywDk17taBg
APO Hiking Society,01/02/2003,Show Me a Smile,spotify:track:6SW0i51THUmKiUszXqKz6a
Tom Odell,Songs from Another Love,Stay Tonight - Demo,spotify:track:2b1Z9JnDExxvsGEce2q6nV
Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,SexyBack (feat. Timbaland),spotify:track:4Lvc9SbPc0svm9TEoMgFzB
Blur,Think Tank,Good Song,spotify:track:75WFyYrXPMAWyN6jOBB7IC
HYBS,Ride,Ride,spotify:track:7fyVBKYJYMP42nNr9RFTAT
Red Hot Chili Peppers,Blood Sugar Sex Magik,Blood Sugar Sex Magik,spotify:track:4ddA4oHvhrGx196qF5ZyQe
King Gnu,Prayer X (Acoustic),Prayer X (Acoustic),spotify:track:1NzKTDTmYToDprHxpG82Zi
Avril Lavigne,Let Go,I'm with You,spotify:track:1jlG3KJ3gdYmhfuySFfpO1
Daft Punk,Random Access Memories,Instant Crush (feat. Julian Casablancas),spotify:track:2cGxRwrMyEAp8dEbuZaVv6
Liam Gallagher,As You Were,Chinatown,spotify:track:5eY44OoKgZTotXKfypXvXX
Urban Strangers,Runaway,Runaway,spotify:track:31yHAdjWgzkYyBc5t7NqUC
Racoon Racoon,Our Love's Funeral,Our Love's Funeral,spotify:track:4AXklvY4icjXZQf3vFAZug
Oasis For Piano,"Be Here Now, Vol. 3",Stand by Me,spotify:track:3mwEUdwNct3H911vjmVlZF
Dua Lipa,Dua Lipa,Kiss and Make Up,spotify:track:13hvHEstJ4sNbzdroPrPI3
RADWIMPS,Suzume (Motion Picture Soundtrack),KANATA HALUKA,spotify:track:4O6htogl2A9ycNLwc9dVK1
Adele,19,Chasing Pavements,spotify:track:0Z5ok0QLLttAKsujOZYOXf
Zack Tabudlo,3rd Time’s A Charm,Gusto,spotify:track:0uemlnPoeZOYIDaMFZ7lvi
Agust D,D-2,People,spotify:track:4wDSEE082RPcnhXzPzFhCp
flor,come out. you're hiding,warm blood,spotify:track:6Rp79bGrzD8cWUGE1eiL8s
Limp Bizkit,Results May Vary,Behind Blue Eyes,spotify:track:1MTQHCpraD4S8g5PAFKzoj
Asmow,Don't Know How,Don't Know How,spotify:track:4u0TyofXZ62soMf06S80Q5
The 1975,By Your Side,By Your Side,spotify:track:6Tzacf8BGC7fyPuQIsG49K
Dean Lewis,Be Alright,Be Alright,spotify:track:3EPXxR3ImUwfayaurPi3cm
Tame Impala,Currents,Yes I'm Changing,spotify:track:0xtIp0lgccN85GfGOekS5L
Cream,Disraeli Gears,Sunshine Of Your Love,spotify:track:2BcvvHttiZRvguFM4hR398
Taylor Swift,1989,Clean,spotify:track:1NmVZsG18CzCAtw7rnV3yA
milk.,Temperature,Temperature,spotify:track:2SKTRn4oqwxGYMEQedHdNd
Sugarcane,Gabi,Gabi,spotify:track:25LPxZMpqdnYmuyjIvq2Ax
Snow Patrol,Reworked,Open Your Eyes (Reworked),spotify:track:6RsmXXyg5r8FqtM338caTl
Foster The People,Imagination,Imagination,spotify:track:2flxduIqEbsicdmPyj1WVW
Glass Animals,I Love You So F***ing Much,On the Run,spotify:track:6D9mr7E56fEFk9GiDFcDKF
Dr. Dog,"Shame, Shame",Where'd All the Time Go?,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI
Labrinth,Electronic Earth,Beneath Your Beautiful (feat. Emeli Sandé),spotify:track:2EcsgXlxz99UMDSPg5T8RF
Blu DeTiger,How Did We Get Here?,Figure It Out,spotify:track:2i2yK4PNEFa2PEhkQ6eJmy
NF,The Search,The Search,spotify:track:3oLe5ZILASG8vU5dxIMfLY
John Frusciante,A Sphere In The Heart Of Silence,Communique,spotify:track:6W6oqPsLeNf9qSS2QaYTZT
Jukjae,Do you want to walk with me? (Romance 101 X Jukjae),Do you want to walk with me? (Romance 101 X Jukjae),spotify:track:1hyyH6xSgtcgwpNOR9cX1t
jbelga,alaala nating dalawa,alaala nating dalawa,spotify:track:2z4jSRCL6Dusfe1kOnfP0x
Linkin Park,LIVING THINGS: Acapellas and Instrumentals,UNTIL IT BREAKS - Acapella,spotify:track:4E1qOPflKFdZCWSNiNTs18
Renz Verano,Para Sa 'Yo,Remember Me,spotify:track:5VmCwP2HeqZ3jzrktvnbxW
John Powell,The Bourne Identity,The Bourne Identity,spotify:track:2p9oAvseoCSam6BkYnWx19
Lomepal,Jeannine,Trop beau,spotify:track:4WB9OeauHXnGOMUK4s80gM
Taylor Swift,folklore,august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
MANILA GREY,Silver Skies,Silver Skies,spotify:track:5rTaolhcX439DcrsGTu7CD
The Strumbellas,Hope,We Don't Know,spotify:track:6z6pKgW5YpbwaPO7gkCVdG
Harry Styles,Harry Styles,Sweet Creature,spotify:track:5kRPPEWFJIMox5qIkQkiz5
KANGDANIEL,The Story,Parade,spotify:track:2lsXJ7F3QYJrQ9cQ9Icx1n
Lemar,The Truth About Love,It's Not That Easy,spotify:track:1Lsd047s9DMjB3oh2xEgMA
Kendrick Lamar,DAMN.,ELEMENT.,spotify:track:1EaKU4dMbesXXd3BrLCtYG
Dillon Francis,"Money Sucks, Friends Rule",What's That Spell? (feat. TJR),spotify:track:2ne8SkXXCS7145OShW2puj
Drake,Scorpion,Can’t Take A Joke,spotify:track:1dUHF4RyMmMTveJ0Rby6Xm
CRO,MTV Unplugged,Bye Bye,spotify:track:6Sr3iRWoMsyqVfNDJJQmzk
Skeeter Davis,The Essential Skeeter Davis,The End of the World,spotify:track:5DTOOkooKFUvWj1XQTFa09
Three Days Grace,Three Days Grace,I Hate Everything About You,spotify:track:0M955bMOoilikPXwKLYpoi
The Killers,Sam's Town,When You Were Young,spotify:track:70wYA8oYHoMzhRRkARoMhU
The Dubs,100 Best of Rock & Roll Love Songs,Don't Laugh at Me,spotify:track:4ES4Ay1vz4j6zQQk68qRsi
Miracle Tones,432 Hz Deep Sleep,432 Hz Deep Healing Sleep,spotify:track:3z3GRSOoUyO5Yp3h2kClkn
Leyma,Lavender,Lavender,spotify:track:40ikg4L5j0Rn0rm28Dp2t9
Dillon Francis,"Money Sucks, Friends Rule",Not Butter,spotify:track:3wI62nBHojobGZ21FxJoD2
Joji,Nectar,Afterthought,spotify:track:6zvqq50PL7io0rprbkrYc9
Birdtalker,My Lover,My Lover,spotify:track:3PgZ3mM7KT9YubwfrYqb7H
Ryan Leahan,spark!,Hibiscus,spotify:track:4IWNVioWl3YfPhyO1xr4av
J. Cole,2014 Forest Hills Drive,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr
My Chemical Romance,Number Three,The World Is Ugly,spotify:track:6VtcgrVYo2xfygcWAfRpd1
New Politics,A Bad Girl In Harlem,Stuck On You,spotify:track:6DwYbPjWsdcNkcmfX5sHjn
Blur,Parklive,No Distance Left to Run - Live,spotify:track:32u6SA4XoRU5zXrZWoUeCM
The xx,I See You,On Hold,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB
Banda Ni Kleggy,Only In The Philippines,Mahal Kita Pramis,spotify:track:174wnTC2yPq6UUEwlwhJeJ
John Lennon,Mind Games,Mind Games - Remastered 2010,spotify:track:3QmUhaY5KZiOuaUH8H71LG
Maroon 5,V,It Was Always You,spotify:track:2PLo8T3kGE9URFvBy3tUdt
Wes Reeve,How Deep Is Your Love,How Deep Is Your Love,spotify:track:7LIiRxu4Lx4qDgiWbErsF4
ReN,????,????,spotify:track:5sNFmrc2sbS3LZ4WNxHFej
Breathe,All That Jazz,Hands To Heaven,spotify:track:0LBtQiEVfP4ysLQ43Do8uN
Connor Price,You Said,You Said,spotify:track:2k5rWMAz9RvFS3k3kk3cc5
Rico Blanco,This Too Shall Pass,This Too Shall Pass,spotify:track:1u8XWGYZ6R905qK9MvPeLB
Dillon Francis,"Money Sucks, Friends Rule",Love in the Middle of a Firefight (feat. Brendon Urie),spotify:track:10pYSaT5jAtG1U6sC1lC4S
Christopher O'Riley,Hold Me To This - Christopher O'Riley Plays Radiohead,no surprises,spotify:track:3InTKW3Xu3zFl1jgkT676K
Drake,Certified Lover Boy,7am On Bridle Path,spotify:track:42m3eP1JJhtzffal9B136J
Drowning Pool,Sinner,Bodies,spotify:track:7CpbhqKUedOIrcvc94p60Y
Childish Gambino,Bando Stone and The New World,Lithonia,spotify:track:3uC4r2daXertBxxc8BpbbN
Big Scary,At the Mercy of the Elements,Falling Away,spotify:track:5ht2WlJSPIwV7gdZEOr45M
The Hives,Your New Favourite Band,Hate To Say I Told You So,spotify:track:5MjxA0iKBexRxwVfDDrdnt
The Maine,Lovely Little Lonely,Lovely,spotify:track:5Eg5y5xkEAtPl27MNU5IPO
York Minster Choir,20 Favourite Hymns,The Day Thou Gavest Lord Is Ended,spotify:track:4rb0mqCmoWBohcfLkzz9CF
Reality Club,What Do You Really Know?,Alexandra,spotify:track:7JFFMicliyVArHQgwEqVBS
Aaron Taos,Closure & Campari,I Must Be In Love,spotify:track:7F2jmPUfxMmrHRwlEc4lbB
KAI,Peaches - The 2nd Mini Album,Peaches,spotify:track:237OjBs3wvamAFpHp0yItw
Mark Diamond,War (The Lost Recordings),You're My Girl (Lost Recording #6),spotify:track:3KH5aME71gFcHvReW54ew4
Moistrus,Kurushimi,Kurushimi,spotify:track:5sYmtWTlcoQpXJcG3KYwsQ
Gryffin,Whole Heart,Whole Heart,spotify:track:2lFRw6rPXivo6kNmghePcK
Lucy Daydream,Lovesong,Lovesong,spotify:track:2XzDu5t3n44Oa0aN7AHKv6
The Beatles,Anthology 1,You Can't Do That - Anthology 1 Version,spotify:track:4rct77ReWXjKK3hLTZ9v9I
SUDA MASAKI,LOVE,???????,spotify:track:55Ww4Pa1iIQMhh0MLMetjo
dying in designer,Lately,Lately,spotify:track:02h5S3iFiJEQWGlvVyW6Fs
Piano Tribute Band,"Piano Covers, Vol. 3",Metallica,spotify:track:5xwah1hFwpZ6CCjyKM6Ahw
Brian McKnight,Superhero,Still,spotify:track:2pdIJF8xM2w7CMutdAKQWV
Negramaro,Mentre Tutto Scorre,Solo 3 min,spotify:track:0X1q9dp4z8MYFYaUDm2unn
Jung Kook,3D : The Remixes,3D (feat. Jack Harlow),spotify:track:01qFKNWq73UfEslI0GvumE
Kenshi Yonezu,Lemon,Paper Flower,spotify:track:2JzRY7DvaqKqBrehWmsb3E
Session Road,Suntok Sa Buwan,Suntok Sa Buwan,spotify:track:4K9bBDygJS2IVkI1Ex8g4j
Billie Eilish,lovely (with Khalid),lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4
Freddie Aguilar,Kasaysayan Ni Ka Freddie Aguilar,Anak,spotify:track:6sJyD4XrxVSbdOIUoUc6qm
Third Eye Blind,Blue,Deep Inside of You - 2008 Remaster,spotify:track:06iQLLK93Dlv7RcvzmZo2g
Nightly,"night, love you.",older,spotify:track:2wn3z2wX30ISmvvuqe4i8m
Twenty One Pilots,Vessel,Migraine,spotify:track:4rfaoyaZvNa60cj3OKSQV9
Nine Inch Nails,The Downward Spiral,Hurt,spotify:track:4pFnV6aV1bnEDqPDGBlrNp
The Zombies,The Zombies,She's Not There,spotify:track:1fibb2CBsQPBrSePsMcmPe
The Pretty Reckless,Light Me Up,Just Tonight,spotify:track:0MqhXAFU5rnOtskcRkllYG
Linkin Park,One More Light,Battle Symphony,spotify:track:3FQCJI2t5LTbsRPfYVBSVB
CooBee Coo,Liven Up,Eyes That Kill,spotify:track:23iir3Zrh7NUPJXKGJxygh
Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),Cornfield Chase,spotify:track:6pWgRkpqVfxnj3WuIcJ7WP
Zack Tabudlo,Episode,Calm Me Down,spotify:track:2CsHDQ1WFLQBBpIEuLcL3z
Green Day,UNO . . . DOS . . . TRÉ!,Brutal Love,spotify:track:5DmRKu8kdUoxjFws6uWbeq
Depeche Mode,Some Great Reward (Deluxe),People Are People,spotify:track:4WoKuMjwJXuy9IqX6AH5JE
Imago,"Pinoy Ako, Vol. 2",Akap,spotify:track:3Q6DKhEtaassSjl62Q3EAz
The Fray,How To Save A Life,Look After You,spotify:track:5l6hpyTGBK0LAAxgPnqTQL
SAKIMA,All Your Secrets,All Your Secrets,spotify:track:2VCcSWtCeogXcHIWoqMi5I
Twenty One Pilots,Vessel,Screen,spotify:track:1pKmfhwbZvsyYUP2eOGdw5
King Gnu,CEREMONY,Overflow,spotify:track:5HdBTRrqGoju7DIZ0GkNYG
Hospitality,Hospitality,Friends of Friends,spotify:track:6kaPNiBCzWGzY2QoZl4PtR
Montell Fish,love you more than me,love you more than me,spotify:track:3jc0jdopFsv3dYz5uo8OCr
Joji,Nectar,Afterthought,spotify:track:1ggYjU6zdFHgANcku82boU
The Juans,100 Tula Para Kay Stella (Original Movie Soundtrack),Balisong,spotify:track:0x0Vr0OJencSFpHPSFYJb9
Bamboo,Bless This Mess,I Want It All,spotify:track:1bphQrWxim8IQHfSc7Gvy3
No Guidnce,Is It A Crime? EP,Lie To Me,spotify:track:5mbgnN5W0Hotfiibh789C4
LANY,13,13,spotify:track:6IDBliZXenoQKoQUvKq4Zv
N.E.R.D,Seeing Sounds,Sooner or Later,spotify:track:6ziXY5niyHNHeUA8pw57Bm
juan karlos,Sad Songs and Bullshit Part 1,may halaga pa ba ako sayo??,spotify:track:1Wgrmn9afIi8NCHBIMIk5e
NewJeans,NewJeans 1st EP 'New Jeans',Cookie,spotify:track:2DwUdMJ5uxv20EhAildreg
Vertical Horizon,Go,I'm Still Here,spotify:track:7kABAeuLo8hIUHmwceSP3x
Phum Viphurit,Bangkok Balter Club,Softly Spoken,spotify:track:58ZHuSI9SWvWU66n43kafK
New West,Singles 2020 - 2021,Next To You,spotify:track:081hXBEkvg9ZMUmzBIFPor
F4,???,???,spotify:track:1hPNdCII2b8NOEIqwbbsdG
Guns N' Roses,Use Your Illusion II,Knockin' On Heaven's Door,spotify:track:4JiEyzf0Md7KEFFGWDDdCr
RM,Indigo,Wild Flower (with youjeen),spotify:track:1AZjCZSGEjlxUufFQwSszF
Måneskin,SUPERMODEL,SUPERMODEL,spotify:track:63WuQOXohQIxOxIFA2K7bR
Moby,Extreme Ways (Bourne's Ultimatum),Extreme Ways - Bourne's Ultimatum,spotify:track:33ad22nCQB3wj3QVhVlZKf
Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Put Your Head On My Shoulder,spotify:track:2DpJ9T2RVRanZcYFHKOAfA
Fujii Kaze,LOVE ALL SERVE ALL,Lonely Rhapsody,spotify:track:2Q0LpnMDXazZk49AWEiHE2
Tsuneo Imahori,??????TRIGUN THE FIRST DONUTS,H.T,spotify:track:27MWlouE3EXEJUZbiAS6tk
Phil Collins,The Singles,Against All Odds (Take a Look at Me Now) - 2016 Remaster,spotify:track:63CHa6rmamv9OsehkRD8oz
Aaron Taos,I Must Be In Love,I Must Be In Love,spotify:track:1P9KM0iwzW8e900blTRJWJ
The Everly Brothers,"Walk Right Back: The Everly Brothers on Warner Brothers, 1960-1969",Cathy's Clown,spotify:track:3VpET40k33lJhKY650zLXP
Twenty One Pilots,Scaled And Icy,Redecorate,spotify:track:2XPmTamsj7d9i3gzLCL4JI
HYBS,Tip Toe,Tip Toe,spotify:track:0MJ5wKsPEeihONNfugHGy7
Eraserheads,Natin 99,68 Dr. Sixto Antonio Avenue,spotify:track:4VvDmNEiUp9id0h4GCovbv
Noel Gallagher's High Flying Birds,Chasing Yesterday,In the Heat of the Moment,spotify:track:7IbMonU3CRITpQ0cRVThsV
The Friday Night Boys,Off The Deep End,She's Finding Me Out,spotify:track:2dpy9FSzqKGLZfr0JJZJWl
Calcutta ,Evergreen,Paracetamolo,spotify:track:4OQ1G3dyVx0SPUzBiWCNat
Måneskin,VENT'ANNI,VENT'ANNI,spotify:track:34r4voojt51Kk6ax5FJI1M
Rainmakers,Re-Issue Series: Rainmakers,Binibini,spotify:track:44l5K74G60TzPBRLIKhEcV
Unique Salonga,Grandma,Midnight Sky,spotify:track:5eFzCfsj3d0yWumdEldZwL
Mokita,colorblind,colorblind,spotify:track:4o3XxiQ9BljY4OU38zanC0
Noel Gallagher's High Flying Birds,Who Built The Moon?,"Dead In The Water (Live at RTÉ 2FM Studios, Dublin) - Bonus Track",spotify:track:1pJ5GRZ1NLEIf6bWIofhST
James Morrison,The Awakening,I Won't Let You Go,spotify:track:2TUzU4IkfH8kcvY2MUlsd2
Depeche Mode,Speak and Spell (Deluxe),Just Can't Get Enough,spotify:track:0qi4b1l0eT3jpzeNHeFXDT
The Maine,Forever Halloween (Deluxe Version),These Four Words,spotify:track:6sD3fhsLFllmOwUeBPvBpx
Coldplay,True Love,True Love - Davide Rossi Remix,spotify:track:4CRLyVo5LyxF8SwMeJgkhw
Trevor Hall,Chapter Of The Forest,Jagadeesha,spotify:track:6JL5q2LOAv1NecoZYhkzxb
DJ Snake,Turn Down for What,Turn Down for What,spotify:track:67awxiNHNyjMXhVgsHuIrs
Enrique Iglesias,Insomniac,Alguien Soy Yo,spotify:track:1WmbJDE80IrPTt2zC416Fp
Rob Simonsen,Deadpool & Wolverine,"LFG - Theme from ""Deadpool & Wolverine""",spotify:track:5m14N7UR6nG69ccaQ0Qssa
Maroon 5,V,This Summer,spotify:track:5uVji14OWpj9HMKLXdhjAv
Fort Minor,The Rising Tied,Believe Me (feat. Bobo & Styles of Beyond),spotify:track:5IHmCv6LwS3JxQYEV9rst9
Dominic Fike,"Don't Forget About Me, Demos",King of Everything,spotify:track:5IWW129DwGyMVQAbaJz3rS
Zild,Kyusi,Kyusi,spotify:track:2aeQuar8aF4JcQEfep6Xpz
The Band CAMINO,Crying Over You,Crying Over You,spotify:track:53bCcVMGv0S2aIYvfju2Tt
King Gnu,??,??,spotify:track:6ZiEWet0uFRwWBCEKCQ8rY
Miracle Tones,432 Hz Deep Healing,432 Hz Ease Anxiety,spotify:track:4MBA5divJnGAgWzJsSVqB2
Berlin,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),"Take My Breath Away - Love Theme from ""Top Gun""",spotify:track:15MJ5NThPjj6xhPcts8MiY
Rob Thomas,Something to Be,Ever the Same,spotify:track:02acUMylPHMjJ9miDc9b38
Ollie Joseph,Take A Guess,Take A Guess,spotify:track:73MgFc3aipJgqFH75Qttux
Sinéad O'Connor,Universal Mother,All Apologies,spotify:track:1zX0Pv0l7GQUFlf0lNADqy
Mayonnaise,Tersera,Torres,spotify:track:2DwjZrUAcrQNAT2mRPUAEx
King Gnu,???????? ??,???????? ??,spotify:track:5unR0gN8UJ7D9HEULNB1mX
Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),Never Enough,spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J
Thegiornalisti,Completamente Sold Out,Sold Out,spotify:track:1gQqtmfp9sWORxjuNMrB5k
